casenum,prognum,Trial,Condition,juicerecord,juiceYN,EXpectedPicduration,ExpectedITIpostpic,ExpectedITIpostjuice,ExpectedTrialTIme,Value,Code,rename1,Subject,RunList,volumeSTART,volumeEND,rename2,eventtocode
17001,17201,1,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-01,1,2,3,food+N,Event
17002,17202,2,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-01,1,4,5,juiceN,Event
17003,17203,3,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-01,1,6,7,food+Y,Event
17004,17204,4,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-01,1,8,9,juiceY,Event
17005,17205,5,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-01,1,10,11,food+Y,Event
17006,17206,6,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-01,1,12,13,juiceY,Event
17007,17207,7,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-01,1,14,15,food+Y,Event
17008,17208,8,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-01,1,16,17,juiceY,Event
17009,17209,9,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-01,1,18,19,food+Y,Event
17010,17210,10,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-01,1,20,21,juiceY,Event
17011,17211,11,ero,,,2000,10000,,12000,2000,PIC2,ero,sub-01,1,22,23,ero,Event
17012,17212,12,mut,,,2000,10000,,12000,2000,PIC2,mut,sub-01,1,24,25,mut,Event
17013,17213,13,neu,,,2000,10000,,12000,2000,PIC2,neu,sub-01,1,26,27,neu,Event
17014,17214,14,checks,,,2000,10000,,12000,2000,PIC2,checks,sub-01,1,28,29,checks,Event
17015,17215,1,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-01,2,30,31,food+N,Event
17016,17216,2,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-01,2,32,33,juiceN,Event
17017,17217,3,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-01,2,34,35,food+Y,Event
17018,17218,4,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-01,2,36,37,juiceY,Event
17019,17219,5,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-01,2,38,39,food+N,Event
17020,17220,6,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-01,2,40,41,juiceN,Event
17021,17221,7,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-01,2,42,43,food+Y,Event
17022,17222,8,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-01,2,44,45,juiceY,Event
17023,17223,9,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-01,2,46,47,food+Y,Event
17024,17224,10,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-01,2,48,49,juiceY,Event
17025,17225,11,ero,,,2000,10000,,12000,2000,PIC2,ero,sub-01,2,50,51,ero,Event
17026,17226,12,mut,,,2000,10000,,12000,2000,PIC2,mut,sub-01,2,52,53,mut,Event
17027,17227,13,neu,,,2000,10000,,12000,2000,PIC2,neu,sub-01,2,54,55,neu,Event
17028,17228,14,checks,,,2000,10000,,12000,2000,PIC2,checks,sub-01,2,56,57,checks,Event
17029,17229,1,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-01,3,58,59,food+Y,Event
17030,17230,2,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-01,3,60,61,juiceY,Event
17031,17231,3,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-01,3,62,63,food+Y,Event
17032,17232,4,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-01,3,64,65,juiceY,Event
17033,17233,5,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-01,3,66,67,food+Y,Event
17034,17234,6,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-01,3,68,69,juiceY,Event
17035,17235,7,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-01,3,70,71,food+Y,Event
17036,17236,8,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-01,3,72,73,juiceY,Event
17037,17237,9,food,,Y,2000,8000,4000,14000,2000,PIC2,food,sub-01,3,74,75,food+Y,Event
17038,17238,10,juice,1,Y,2000,6000,4000,12000,1000,JUICE,juice,sub-01,3,76,77,juiceY,Event
17039,17239,11,ero,,,2000,10000,,12000,2000,PIC2,ero,sub-01,3,78,79,ero,Event
17040,17240,12,mut,,,2000,10000,,12000,2000,PIC2,mut,sub-01,3,80,81,mut,Event
17041,17241,13,neu,,,2000,10000,,12000,2000,PIC2,neu,sub-01,3,82,83,neu,Event
17042,17242,14,checks,,,2000,10000,,12000,2000,PIC2,checks,sub-01,3,84,85,checks,Event
17043,17243,1,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-01,4,86,87,food+N,Event
17044,17244,2,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-01,4,88,89,juiceN,Event
17045,17245,3,food,,N,2000,8000,4000,14000,2000,PIC2,food,sub-01,4,90,91,food+N,Event
17046,17246,4,juice,0,N,2000,6000,4000,12000,1000,JUICE,juice,sub-01,4,92,93,juiceN,Event
